id,type,query,expected_answer,context
1,관광지,대전 오월드 주소가 어떻게 됩니까?,대전광역시 중구 사정공원로 70,
2,관광지,공주 공산성 위치를 알려주세요.,충청남도 공주시 웅진로 280,
3,관광지,옥천 부소담악 주소가 무엇입니까?,충청북도 옥천군 군북면 환산로 518,
4,관광지,논산 탑정호 출렁다리는 어디에 있습니까?,충청남도 논산시 부적면 신풍리 769,
5,관광지,대전 한밭수목원 주소 알려주세요.,대전광역시 서구 둔산대로 169,
6,관광지,대청호 벚꽃길 위치가 어디입니까?,대전광역시 동구 신상동 282,
7,관광지,공주 계룡산국립공원 주소 확인해 주세요.,충청남도 공주시 반포면 동학사1로 327-6,
8,관광지,대전시민천문대 주소가 어떻게 됩니까?,대전광역시 유성구 과학로 213-48,
9,숙박,롯데시티호텔 대전의 주소 알려주세요.,대전광역시 유성구 엑스포로123번길 33,
10,숙박,대전 호텔 오노마 위치가 어디입니까?,대전광역시 유성구 엑스포로 1,
11,음식점,대전 성심당 주소를 알려주세요.,대전광역시 중구 대종로480번길 15,
12,음식점,대전 광천식당 위치가 어디입니까?,대전광역시 중구 대종로505번길 29,
13,음식점,대전 오씨칼국수 주소 확인해 주세요.,대전광역시 동구 옛신탄진로 13,
14,음식점,대전 진로집 어디에 있습니까?,대전광역시 중구 중교로 45-5,
15,음식점,대전 태화장 주소 알려주세요.,대전광역시 동구 중앙로203번길 78,
16,음식점,공주 동해원 위치를 알려주세요.,충청남도 공주시 납다리길 22,
17,음식점,논산 반월소바 주소가 어떻게 됩니까?,충청남도 논산시 해월로 132,
18,음식점,논산 원조연산할머니순대 주소 확인해 주세요.,충청남도 논산시 연산면 황산벌로 1525,
19,음식점,공주 마곡사서울식당 주소 알려주세요.,충청남도 공주시 사곡면 마곡상가길 13-2,
20,쇼핑,현대프리미엄아울렛 대전점 위치가 어디입니까?,대전광역시 유성구 테크노중앙로 123,
21,쇼핑,갤러리아백화점 타임월드점 주소를 알려주세요.,대전광역시 서구 대덕대로 211,
22,쇼핑,대전 중앙시장 주소가 어떻게 됩니까?,대전광역시 동구 대전로 783,
23,문화시설,대전시립미술관 주소를 알려주세요.,대전광역시 서구 둔산대로 155,
24,문화시설,대전 국립중앙과학관 위치가 어디입니까?,대전광역시 유성구 대덕대로 481,
25,문화시설,대전예술의전당 주소 확인해 주세요.,대전광역시 서구 둔산대로 135,
26,문화시설,공주 석장리박물관 위치를 알려주세요.,충청남도 공주시 금벽로 990,
27,문화시설,대전아쿠아리움 주소가 어떻게 됩니까?,대전광역시 중구 보문산공원로 469,
28,레포츠,대전월드컵경기장 주소 알려주세요.,대전광역시 유성구 월드컵대로 32,
29,레포츠,대전 남선공원 스케이트장 위치가 어디입니까?,대전광역시 서구 남선로 66,
30,레포츠,대전 한밭종합운동장 주소 확인해 주세요.,대전광역시 중구 대종로 373,
31,문화시설,계룡문화예술의전당 주소를 알려주세요.,충청남도 계룡시 문화1로 13,
32,레포츠,대전드림아레나 위치가 어떻게 됩니까?,대전광역시 유성구 대덕대로 480,
33,축제,유성온천문화축제 개최 장소를 알려주세요.,대전광역시 유성구 어은로 27 일원,
34,축제,대전사이언스페스티벌 장소가 어디입니까?,대전광역시 유성구 엑스포로 87,
35,축제,논산딸기축제 장소 주소를 알려주세요.,충청남도 논산시 관촉동 339-1,
36,축제,강경젓갈축제 개최 위치 확인해 주세요.,충청남도 논산시 강경읍 금백로 45,
37,대화 히스토리,거기 주변 식당 추천해 주세요.,사정동 및 중구 인근 음식점 데이터 제공,대전오월드 주소
38,대화 히스토리,그 근처 숙소 추천해 주세요.,유성구 봉명동 인근 숙박 시설 데이터(예: 호텔 인터시티 등) 제공,유성온천문화축제 장소
39,대화 히스토리,해당 백화점 안에 있는 쇼핑 매장 알려주세요.,"갤러리아백화점 내 위치한 매장 데이터(예: 롤렉스, 구찌 등) 제공",갤러리아백화점 타임월드점 주소
40,복합 조건,공주시에 있는 박물관을 찾아주세요.,"공주시 분류의 문화시설 내 박물관 데이터(예: 국립공주박물관, 석장리박물관 등) 제공",
41,복합 조건,논산 탑정호 출렁다리 근처 레포츠 시설을 알려주세요.,탑정호 인근에 위치한 레포츠 시설 데이터 제공,
42,복합 조건,옥천군에서 캠핑이 가능한 레포츠 시설을 찾아주세요.,옥천군 캠핑장 데이터(예: 마로니에숲캠핑장 등) 제공,
